mae	mse	rmse	r2	correlation	mean_ratio	median_ratio	valid_windows	total_windows	country	subtype	total_sequences	total_cases
0.0	0.0	0.0	1.0	1.0	0.9999999979643284	0.999999999787009	111	121	australia	BVIC	2116.0833333333335	12271.343054062241
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999993522255	0.9999999994621627	106	121	australia	AH3	9181.0	16345.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999991203927	0.9999999997444998	58	121	australia	BYAM	316.9166666666667	4201.656945937758
							0	121	australia	AOTHER_SUBTYPE	3.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999995467291	0.9999999996416933	106	121	australia	AH1N12009	5971.0	14092.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999911938976	0.9999999963208333	26	121	mozambique	BYAM	19.0	52.16666666666667
0.0	0.0	0.0	1.0	1.0	0.9999999994694134	0.9999999995384615	53	121	mozambique	AH1N12009	92.0	526.0
0.0	0.0	0.0	1.0	1.0	0.9999999987895184	0.999999999112676	62	121	mozambique	AH3	111.0	506.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999794035941	0.9999999860000002	41	121	mozambique	BVIC	59.0	44.833333333333336
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999992342876	0.9999999998860778	74	121	pakistan	AH1N12009	395.0	3645.0
0.0	0.0	0.0	1.0	1.0	0.9999999913190868	0.99999999375	27	121	pakistan	BVIC	67.0	160.88888888888889
0.0	0.0	0.0	1.0	1.0	0.9999999833098423	0.9999999959999999	29	121	pakistan	BYAM	33.0	146.11111111111111
0.0	0.0	0.0	1.0	1.0	0.9999999926139823	0.9999999998355262	70	121	pakistan	AH3	286.0	2318.0
							0	121	pakistan	AOTHER_SUBTYPE	4.0	0.0
0.0	0.0	0.0	1.0	1.0	0.999999994594331	0.9999999953333334	23	121	jordan	BVIC	35.0	72.81137312979419
0.0	0.0	0.0	1.0	1.0	0.9999999988630818	0.9999999991778357	44	121	jordan	AH3	74.0	895.0
0.0	0.0	0.0	1.0	1.0	0.9999999996339217	0.9999999997804846	46	121	jordan	AH1N12009	166.0	1706.0
0.0	0.0	0.0	1.0	1.0	0.9999999865725009	0.999999994575	42	121	jordan	BYAM	22.0	59.188626870205816
0.0	0.0	0.0	1.0	1.0	0.9999999994673131	0.9999999996521739	77	121	french guiana	AH3	104.0	793.0
0.0	0.0	0.0	1.0	1.0	0.999999999085966	0.9999999994545454	69	121	french guiana	AH1N12009	106.0	926.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999994656361	0.9999999995	20	121	french guiana	BYAM	14.0	107.0
							0	121	french guiana	BVIC	25.0	0.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999995538523	0.9999999996712329	55	121	bhutan	AH1N12009	180.0	1540.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999995091589	0.99999999967632	66	121	bhutan	AH3	260.0	1581.0
0.0	0.0	0.0	1.0	1.0	0.9999999858418526	0.9999999975049504	23	121	bhutan	BVIC	160.0	187.0
0.0	0.0	0.0	1.0	1.0	0.999999997999911	0.9999999988387097	15	121	bhutan	BYAM	15.0	298.0
0.0	0.0	0.0	1.0	1.0	0.9999999999213665	0.99999999996302	97	121	mexico	AH3	1089.0	30628.0
0.0	0.0	0.0	1.0	1.0	0.9999999996600878	0.999999999887692	56	121	mexico	BYAM	113.66666666666667	4204.99777369846
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999995456956	0.9999999997444943	82	121	mexico	BVIC	190.33333333333331	4457.00222630154
0.0	0.0	0.0	1.0	1.0	0.9999999998588828	0.9999999999446103	96	121	mexico	AH1N12009	620.0	26694.0
							0	121	mexico	AOTHER_SUBTYPE	0.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999992951297	0.9999999997915762	66	121	senegal	AH1N12009	262.0	1713.0
0.0	0.0	0.0	1.0	1.0	0.9999999995812824	0.999999999823827	71	121	senegal	AH3	243.0	2397.0
0.0	0.0	0.0	1.0	1.0	0.9999999996433976	0.9999999996296296	29	121	senegal	BYAM	20.0	273.1
0.0	0.0	0.0	1.0	1.0	0.9999999614851872	0.9999999790000005	45	121	senegal	BVIC	108.0	35.9
							0	121	senegal	AOTHER_SUBTYPE	1.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999997100057	0.9999999999236363	77	121	nepal	AH3	111.0	4777.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999981327794	0.9999999995555555	69	121	nepal	BVIC	59.0	1765.8702020202018
0.0	0.0	0.0	1.0	1.0	0.9999999994125119	0.9999999997595941	40	121	nepal	BYAM	74.0	1376.1297979797978
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999997843505	0.9999999998981823	66	121	nepal	AH1N12009	142.0	5342.0
0.0	0.0	0.0	1.0	1.0	0.9999999989862706	0.9999999992176403	84	121	finland	AH3	508.0	702.0
0.0	0.0	0.0	1.0	1.0	0.9999999972438782	0.9999999990232558	71	121	finland	AH1N12009	340.0	350.0
0.0	0.0	0.0	1.0	1.0	0.9999999992312991	0.9999999991999999	33	121	finland	BYAM	52.0	245.26666666666665
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999586461433	0.999999999946271	14	121	finland	BVIC	120.0	2965.7333333333336
0.0	0.0	0.0	1.0	1.0	0.9999999988680728	0.9999999996110105	114	121	sweden	AH3	1191.0	6076.0
0.0	0.0	0.0	1.0	1.0	0.9999999987477138	0.9999999996024667	103	121	sweden	AH1N12009	1052.0	9227.0
0.0	0.0	0.0	1.0	1.0	0.999999999599415	0.9999999999243047	45	121	sweden	BYAM	199.0	14810.989519252678
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999989504845	0.9999999998075996	96	121	sweden	BVIC	486.0	14492.010480747324
							0	121	sweden	AOTHER_SUBTYPE	1.0	0.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999994993317	0.99999999957267	85	121	bahrain	AH1N12009	259.0	1797.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999993616847	0.9999999996120401	72	121	bahrain	AH3	170.0	2878.0
0.0	0.0	0.0	1.0	1.0	0.9999999824036562	0.9999999925333334	65	121	bahrain	BVIC	226.0	150.32894736842104
0.0	0.0	0.0	1.0	1.0	0.9999999977383895	0.9999999990117646	38	121	bahrain	BYAM	32.0	96.67105263157895
